ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
hsa05010	Alzheimer disease	11/48	369/8075	7.67803784785159e-06	3.97064242988896e-05	1.36241874593457e-05	23130/8678/5599/4790/5894/3551/468/5609/22926/5595/5601	11
hsa05152	Tuberculosis	8/48	180/8075	9.18975171988661e-06	4.6204029480541e-05	1.58536652477576e-05	581/5599/4790/5894/3916/8877/5595/5601	8
hsa04926	Relaxin signaling pathway	7/48	129/8075	9.63277228325041e-06	4.71224806288737e-05	1.61688069619282e-05	5599/4790/5894/468/5609/5595/5601	7
hsa05132	Salmonella infection	9/48	249/8075	1.27747080177484e-05	6.08479513476965e-05	2.08783316633562e-05	581/5599/4790/5894/3551/5609/3326/5595/5601	9
hsa04912	GnRH signaling pathway	6/48	93/8075	1.64907850766194e-05	7.65341563812336e-05	2.62606294067623e-05	5599/5894/468/5609/5595/5601	6
hsa05169	Epstein-Barr virus infection	8/48	202/8075	2.13250644059673e-05	9.64959164370022e-05	3.31099684197914e-05	581/5599/4790/1027/3551/5609/29110/5601	8
hsa04932	Non-alcoholic fatty liver disease	7/48	150/8075	2.58019683625728e-05	0.000113906250576236	3.90838545158355e-05	581/5599/4790/5564/3551/468/5601	7
hsa04625	C-type lectin receptor signaling pathway	6/48	104/8075	3.1250747482035e-05	0.000134227197301098	4.60564387366374e-05	5599/4790/5894/3551/5595/5601	6
hsa04150	mTOR signaling pathway	7/48	155/8075	3.18882291930786e-05	0.000134227197301098	4.60564387366374e-05	5894/7248/7249/3551/64223/6794/5595	7
hsa04215	Apoptosis - multiple species	4/48	32/8075	3.4977597392712e-05	0.000143885116547293	4.93702929705744e-05	581/8678/5599/5601	4
hsa05166	Human T-cell leukemia virus 1 infection	8/48	219/8075	3.81479815608941e-05	0.000152318274779853	5.22639035301619e-05	581/5599/4790/3551/468/821/5595/5601	8
hsa04931	Insulin resistance	6/48	108/8075	3.87107217672555e-05	0.000152318274779853	5.22639035301619e-05	5599/4790/5564/3551/2308/5601	6
hsa04066	HIF-1 signaling pathway	6/48	109/8075	4.07827729135139e-05	0.00015705706164566	5.38898903000519e-05	405/2064/4790/1027/3091/5595	6
hsa04664	Fc epsilon RI signaling pathway	5/48	68/8075	4.72020047237596e-05	0.00017799089281251	6.10727692697766e-05	5599/5894/5609/5595/5601	5
hsa04622	RIG-I-like receptor signaling pathway	5/48	70/8075	5.43194505581358e-05	0.000196636411020452	6.74704754301056e-05	5599/4790/3551/29110/5601	5
hsa04917	Prolactin signaling pathway	5/48	70/8075	5.43194505581358e-05	0.000196636411020452	6.74704754301056e-05	5599/4790/5894/5595/5601	5
hsa04530	Tight junction	7/48	169/8075	5.54995024144488e-05	0.000196968822294416	6.75845333839521e-05	2064/5599/5564/3688/5609/6794/5601	7
hsa05164	Influenza A	7/48	171/8075	5.98151350271947e-05	0.000208202681536966	7.14391288786333e-05	581/4790/5894/3551/29110/5595/8766	7
hsa04152	AMPK signaling pathway	6/48	120/8075	7.00299913523552e-05	0.000239159027071251	8.20609630543984e-05	29904/5564/7248/7249/6794/2308	6
hsa05133	Pertussis	5/48	76/8075	8.0736031023627e-05	0.000270615215097713	9.28543046860427e-05	5599/4790/3688/5595/5601	5
hsa04621	NOD-like receptor signaling pathway	7/48	181/8075	8.57331502322821e-05	0.000282140003491692	9.68087246642038e-05	5599/4790/3551/3326/29110/5595/5601	7
hsa05219	Bladder cancer	4/48	41/8075	9.47136697068116e-05	0.000306128111016659	0.000105039596103419	2064/5894/23604/5595	4
hsa04380	Osteoclast differentiation	6/48	128/8075	0.000100323425808944	0.000318570878445945	0.000109308995802912	5599/4790/3551/5609/5595/5601	6
hsa05210	Colorectal cancer	5/48	86/8075	0.000145581898823702	0.00044722949030005	0.000153454724790363	581/5599/5894/5595/5601	5
hsa05130	Pathogenic Escherichia coli infection	7/48	197/8075	0.000145781988550845	0.00044722949030005	0.000153454724790363	581/5599/4790/3551/3688/5595/5601	7
hsa04930	Type II diabetes mellitus	4/48	46/8075	0.000149331750328843	0.00045048411349201	0.000154571460866697	5599/3551/5595/5601	4
hsa05418	Fluid shear stress and atherosclerosis	6/48	139/8075	0.000158121413658078	0.000469179932329708	0.000160986426330054	5599/4790/3551/5609/3326/5601	6
hsa05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	5/48	89/8075	0.000171215618075466	0.00049983914309128	0.000171506306730942	4790/5894/3551/3091/5595	5
hsa04658	Th1 and Th2 cell differentiation	5/48	92/8075	0.000200167882289984	0.00056609979210136	0.00019424185945903	5599/4790/3551/5595/5601	5
hsa05222	Small cell lung cancer	5/48	92/8075	0.000200167882289984	0.00056609979210136	0.00019424185945903	581/4790/1027/3551/3688	5
hsa04914	Progesterone-mediated oocyte maturation	5/48	100/8075	0.000295755685911868	0.000812787616270987	0.000278886125966782	5599/5894/3326/5595/5601	5
hsa04218	Cellular senescence	6/48	156/8075	0.000296375594883343	0.000812787616270987	0.000278886125966782	4790/5894/7248/7249/2308/5595	6
hsa05160	Hepatitis C	6/48	157/8075	0.000306775972798954	0.000828753001143442	0.000284364216734301	581/4790/5894/3551/29110/5595	6
hsa05142	Chagas disease	5/48	102/8075	0.000324307595610565	0.00086155386140841	0.000295618946339612	5599/4790/3551/5595/5601	5
hsa04217	Necroptosis	6/48	159/8075	0.000328437659873924	0.00086155386140841	0.000295618946339612	581/5599/142/128866/3326/5601	6
hsa05213	Endometrial cancer	4/48	58/8075	0.000368491883564873	0.000952814727503458	0.000326932648576354	581/2064/5894/5595	4
hsa04014	Ras signaling pathway	7/48	232/8075	0.000397934523788754	0.00101445280008119	0.000348082089007213	5599/4790/5894/3551/29110/5595/5601	7
hsa05221	Acute myeloid leukemia	4/48	67/8075	0.000640159704186656	0.00160929036746923	0.000552184540161005	4790/5894/3551/5595	4
hsa04935	Growth hormone synthesis, secretion and action	5/48	119/8075	0.000659467420708101	0.00163511785134474	0.000561046543933352	5599/5894/468/5595/5601	5
hsa04919	Thyroid hormone signaling pathway	5/48	121/8075	0.000711463258615125	0.00172740806190093	0.000592713437930531	5894/7249/2308/3091/5595	5
hsa05211	Renal cell carcinoma	4/48	69/8075	0.000715776821229667	0.00172740806190093	0.000592713437930531	405/5894/3091/5595	4
hsa05120	Epithelial cell signaling in Helicobacter pylori infection	4/48	70/8075	0.000755865146724912	0.00177677391632739	0.000609651998041966	5599/4790/3551/5601	4
hsa05230	Central carbon metabolism in cancer	4/48	70/8075	0.000755865146724912	0.00177677391632739	0.000609651998041966	2064/5894/3091/5595	4
hsa05223	Non-small cell lung cancer	4/48	72/8075	0.000840769925869335	0.0019510173920814	0.000669438942325111	581/2064/5894/5595	4
hsa04510	Focal adhesion	6/48	201/8075	0.00113333615800298	0.0025966309442853	0.000890963801761166	2064/5599/5894/3688/5595/5601	6
hsa01521	EGFR tyrosine kinase inhibitor resistance	4/48	79/8075	0.00119113512129609	0.0026949432119324	0.000924697002058807	581/2064/5894/5595	4
hsa05203	Viral carcinogenesis	6/48	204/8075	0.00122354258970614	0.00273408899675077	0.000938128821217186	581/10013/4790/1027/468/5595	6
hsa04371	Apelin signaling pathway	5/48	137/8075	0.00124542988301614	0.00274905864421855	0.000943265251578335	8678/5564/5894/8877/5595	5
hsa04915	Estrogen signaling pathway	5/48	138/8075	0.00128653721939972	0.00280558116519699	0.000962659428593325	5894/3312/468/3326/5595	5
hsa04662	B cell receptor signaling pathway	4/48	82/8075	0.00136865766558343	0.00294913139845953	0.00101191481540629	4790/5894/3551/5595	4
hsa04072	Phospholipase D signaling pathway	5/48	148/8075	0.00175496606439882	0.00373704538419042	0.00128226622661957	5894/7248/7249/8877/5595	5
hsa05226	Gastric cancer	5/48	149/8075	0.00180787791536299	0.00380495235675235	0.00130556667082517	581/2064/5894/1027/5595	5
hsa04370	VEGF signaling pathway	3/48	59/8075	0.00507529936471509	0.0105589561495797	0.0036230207201233	5894/8877/5595	3
hsa05020	Prion disease	6/48	273/8075	0.00526007960817735	0.0108190273759102	0.00371225713974239	581/5599/3312/468/5595/5601	6
hsa05014	Amyotrophic lateral sclerosis	7/48	364/8075	0.00532255629230012	0.0108245245944531	0.00371414336186525	581/23130/8678/10013/468/22926/29110	7
hsa04213	Longevity regulating pathway - multiple species	3/48	62/8075	0.00583150183374764	0.0117277981323147	0.00402407728878492	5564/3312/2308	3
hsa04623	Cytosolic DNA-sensing pathway	3/48	63/8075	0.00609776573838064	0.0121285230620538	0.00416157522920136	4790/3551/29110	3
hsa04142	Lysosome	4/48	128/8075	0.00684016820136508	0.0134572874396422	0.00461750484989176	1201/2548/3916/411	4
hsa05205	Proteoglycans in cancer	5/48	205/8075	0.00708852867477774	0.0137959536573631	0.00473370901881026	2064/5894/3688/3091/5595	5
hsa04720	Long-term potentiation	3/48	67/8075	0.00723516700599064	0.0139315449796203	0.00478023352019539	5894/468/5595	3
hsa04024	cAMP signaling pathway	5/48	216/8075	0.00879149313659613	0.0166353091717384	0.00570795720344616	5599/4790/5894/5595/5601	5
hsa05218	Melanoma	3/48	72/8075	0.00882314740600492	0.0166353091717384	0.00570795720344616	581/5894/5595	3
hsa05016	Huntington disease	6/48	306/8075	0.0090555297062294	0.0167531510203597	0.00574839145217345	581/23130/8678/5599/5609/5601	6
hsa01524	Platinum drug resistance	3/48	73/8075	0.00916332569621886	0.0167531510203597	0.00574839145217345	581/2064/5595	3
hsa04115	p53 signaling pathway	3/48	73/8075	0.00916332569621886	0.0167531510203597	0.00574839145217345	581/7161/7249	3
hsa05206	MicroRNAs in cancer	6/48	310/8075	0.00962220836020626	0.0174161971319733	0.00597589782370705	2064/4790/5894/1027/3551/5595	6
hsa05214	Glioma	3/48	75/8075	0.00986656393416346	0.0176816640800355	0.00606698563955857	581/5894/5595	3
hsa05017	Spinocerebellar ataxia	4/48	143/8075	0.0100376102734201	0.0178118378381278	0.00611165125007001	23130/8678/5599/5601	4
hsa05140	Leishmaniasis	3/48	77/8075	0.0106005369975995	0.0186281281219952	0.00639173922185355	4790/3688/5595	3
hsa04612	Antigen processing and presentation	3/48	78/8075	0.0109791286647515	0.0190134130864656	0.00652393935505362	3312/821/3326	3
hsa05224	Breast cancer	4/48	147/8075	0.0110298805197729	0.0190134130864656	0.00652393935505362	581/2064/5894/5595	4
hsa04921	Oxytocin signaling pathway	4/48	154/8075	0.0129153517064683	0.0220535722534977	0.00756708789157526	29904/5564/5894/5595	4
hsa04934	Cushing syndrome	4/48	155/8075	0.0132005173572746	0.0223298471183805	0.00766188415227943	405/1027/468/5595	4
hsa01523	Antifolate resistance	2/48	31/8075	0.0144174561201423	0.0241625884976458	0.00829073987415589	4790/3551	2
hsa05012	Parkinson disease	5/48	249/8075	0.0155709614402492	0.0258563671622487	0.00887191429236796	581/5599/468/22926/5601	5
hsa04666	Fc gamma R-mediated phagocytosis	3/48	97/8075	0.0196759506420414	0.0323758824200863	0.0111089099318703	5894/8877/5595	3
hsa05216	Thyroid cancer	2/48	37/8075	0.0201890286492382	0.0329208485181271	0.0112959003348037	581/5595	2
hsa04064	NF-kappa B signaling pathway	3/48	104/8075	0.0236129059040359	0.038160142577058	0.0130936226347567	4790/142/3551	3
hsa05034	Alcoholism	4/48	187/8075	0.0245374607283346	0.0393033662993678	0.0134858889890241	10013/5894/468/5595	4
hsa04928	Parathyroid hormone synthesis, secretion and action	3/48	106/8075	0.0248108764101048	0.0393927072827102	0.0135165439353295	5894/468/5595	3
hsa04922	Glucagon signaling pathway	3/48	107/8075	0.0254220517360332	0.0400120988193218	0.0137290714180866	5564/468/2308	3
hsa04062	Chemokine signaling pathway	4/48	192/8075	0.0267132548324962	0.0413256335442889	0.0141797753946673	4790/5894/3551/5595	4
hsa05202	Transcriptional misregulation in cancer	4/48	192/8075	0.0267132548324962	0.0413256335442889	0.0141797753946673	581/4790/1027/2308	4
