ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:1905037	autophagosome organization	9/59	96/18670	1.74163450779814e-11	3.70809819751204e-09	2.39828904949428e-09	ATG16L2/ATG4B/WDR45/ATG2A/BECN1/ULK3/CHMP4B/ATG9B/TP53INP2	9
BP	GO:0062197	cellular response to chemical stress	13/59	350/18670	5.2653627907482e-11	1.02762330466102e-08	6.64636583849707e-09	ARNT/BECN1/HDAC6/MAPK8/PARP1/TSC1/ATF4/P4HB/SPHK1/FOXO1/HIF1A/MAPK3/MAPK9	13
BP	GO:0031331	positive regulation of cellular catabolic process	13/59	362/18670	7.99723718570917e-11	1.44073303761007e-08	9.31823830788299e-09	BAX/ARNT/BECN1/HDAC6/TSC1/TSC2/STK11/FOXO1/HIF1A/TBK1/MAPK3/MAPK9/TP53INP2	13
BP	GO:0006979	response to oxidative stress	13/59	451/18670	1.18295354274997e-09	1.97891228365745e-07	1.27990236693023e-07	ARNT/BECN1/HDAC6/MAPK8/PARP1/TSC1/ATF4/P4HB/SPHK1/FOXO1/HIF1A/MAPK3/MAPK9	13
BP	GO:0016239	positive regulation of macroautophagy	7/59	68/18670	1.81842004953635e-09	2.83915983734275e-07	1.83628522897039e-07	BECN1/HDAC6/TSC1/TSC2/HIF1A/TBK1/MAPK3	7
BP	GO:0000422	autophagy of mitochondrion	7/59	76/18670	4.02137074898272e-09	5.50873887744582e-07	3.56289057694482e-07	WDR45/ATG2A/BECN1/HDAC6/TSC2/ATG9B/HIF1A	7
BP	GO:0061726	mitochondrion disassembly	7/59	76/18670	4.02137074898272e-09	5.50873887744582e-07	3.56289057694482e-07	WDR45/ATG2A/BECN1/HDAC6/TSC2/ATG9B/HIF1A	7
BP	GO:2001233	regulation of apoptotic signaling pathway	12/59	406/18670	4.23387274953137e-09	5.50873887744582e-07	3.56289057694482e-07	BAX/BECN1/MAPK8/PARP1/RAF1/TP73/DAPK2/P4HB/HIF1A/PEA15/MAPK8IP1/MAPK9	12
BP	GO:0018209	peptidyl-serine modification	11/59	322/18670	4.53509065068673e-09	5.59009594942543e-07	3.61550994256964e-07	BAX/HDAC6/MAPK8/PARP1/RAF1/IKBKB/IL24/HSP90AB1/TBK1/MAPK3/MAPK9	11
BP	GO:0051403	stress-activated MAPK cascade	10/59	286/18670	1.9710966073993e-08	2.30815412726458e-06	1.49284632528821e-06	MAPK8/NFKB1/IKBKB/MAP2K7/SPHK1/FOXO1/MAPK8IP1/MAPK3/MAPK9/NBR1	10
BP	GO:0097193	intrinsic apoptotic signaling pathway	10/59	289/18670	2.17577070034636e-08	2.42650237152913e-06	1.56939049513705e-06	BAX/BECN1/PARP1/TP73/ATF4/DAPK2/P4HB/STK11/HIF1A/MAPK8IP1	10
BP	GO:0071241	cellular response to inorganic substance	9/59	215/18670	2.29854053342532e-08	2.44690087694641e-06	1.58258364956892e-06	BECN1/EEF2K/MAPK8/PARP1/CDKN1B/ATF4/FOXO1/MAPK3/MAPK9	9
BP	GO:1903008	organelle disassembly	7/59	101/18670	2.97636114643e-08	2.92800087302753e-06	1.89374500260084e-06	WDR45/ATG2A/BECN1/HDAC6/TSC2/ATG9B/HIF1A	7
BP	GO:0018105	peptidyl-serine phosphorylation	10/59	299/18670	3.00051327722718e-08	2.92800087302753e-06	1.89374500260084e-06	BAX/HDAC6/MAPK8/RAF1/IKBKB/IL24/HSP90AB1/TBK1/MAPK3/MAPK9	10
BP	GO:0031098	stress-activated protein kinase signaling cascade	10/59	315/18670	4.9004204586597e-08	4.59071388567241e-06	2.96913896421529e-06	MAPK8/NFKB1/IKBKB/MAP2K7/SPHK1/FOXO1/MAPK8IP1/MAPK3/MAPK9/NBR1	10
BP	GO:0071248	cellular response to metal ion	8/59	188/18670	1.30209798108453e-07	1.13177943069037e-05	7.32001708285063e-06	BECN1/EEF2K/MAPK8/PARP1/CDKN1B/ATF4/MAPK3/MAPK9	8
BP	GO:1903201	regulation of oxidative stress-induced cell death	6/59	75/18670	1.30478414298206e-07	1.13177943069037e-05	7.32001708285063e-06	HDAC6/PARP1/TSC1/ATF4/P4HB/HIF1A	6
BP	GO:0035966	response to topologically incorrect protein	8/59	199/18670	2.01475438039806e-07	1.6851981281758e-05	1.08993667420782e-05	BAX/HDAC6/HSPA8/ATF4/ATF6/CANX/MBTPS2/HSP90AB1	8
BP	GO:1900407	regulation of cellular response to oxidative stress	6/59	88/18670	3.40217870607681e-07	2.74755259642479e-05	1.77703635500709e-05	HDAC6/PARP1/TSC1/ATF4/P4HB/HIF1A	6
BP	GO:0070482	response to oxygen levels	10/59	394/18670	3.9081667421652e-07	3.05097550338363e-05	1.97328138314938e-05	ARNT/BECN1/EEF2K/RAF1/TSC1/CDKN1B/ATF4/P4HB/FOXO1/HIF1A	10
BP	GO:0009267	cellular response to starvation	7/59	149/18670	4.31510839319579e-07	3.25999479253695e-05	2.10846892285526e-05	WDR45/BECN1/MAPK8/HSPA8/ATF4/FOXO1/MAPK3	7
BP	GO:0061912	selective autophagy	5/59	49/18670	4.54400233010339e-07	3.32564170534442e-05	2.15092741875618e-05	BECN1/HDAC6/TSC2/TBK1/MAPK3	5
BP	GO:0036473	cell death in response to oxidative stress	6/59	93/18670	4.72735590433714e-07	3.35499015998714e-05	2.16990913758888e-05	HDAC6/PARP1/TSC1/ATF4/P4HB/HIF1A	6
BP	GO:0006457	protein folding	8/59	227/18670	5.49099637235114e-07	3.75713120798807e-05	2.43000216112852e-05	HSPA8/P4HB/SPHK1/ST13/ATF6/CANX/FKBP1A/HSP90AB1	8
BP	GO:1901214	regulation of neuron death	9/59	313/18670	5.61484168572086e-07	3.75713120798807e-05	2.43000216112852e-05	BAX/PARP1/TSC1/ATF4/CHMP4B/CLN3/HIF1A/HSP90AB1/TBK1	9
BP	GO:1902882	regulation of response to oxidative stress	6/59	97/18670	6.06910533394226e-07	3.948290192248e-05	2.55363817998331e-05	HDAC6/PARP1/TSC1/ATF4/P4HB/HIF1A	6
BP	GO:0035967	cellular response to topologically incorrect protein	7/59	161/18670	7.28498096606117e-07	4.61119606013926e-05	2.98238623333201e-05	BAX/HDAC6/HSPA8/ATF4/ATF6/CANX/MBTPS2	7
BP	GO:0031669	cellular response to nutrient levels	8/59	237/18670	7.60573000482319e-07	4.68753149244629e-05	3.03175774984503e-05	WDR45/BECN1/MAPK8/TSC1/HSPA8/ATF4/FOXO1/MAPK3	8
BP	GO:2001242	regulation of intrinsic apoptotic signaling pathway	7/59	165/18670	8.59410681670423e-07	5.16087132428751e-05	3.33790005647433e-05	BAX/BECN1/PARP1/DAPK2/P4HB/HIF1A/MAPK8IP1	7
BP	GO:0071902	positive regulation of protein serine/threonine kinase activity	9/59	334/18670	9.64225044440795e-07	5.54128891053261e-05	3.58394298272121e-05	ERBB2/RAF1/TP73/CDKN1B/MAP2K7/MLST8/PEA15/HSP90AB1/MAPK3	9
BP	GO:0034614	cellular response to reactive oxygen species	7/59	168/18670	9.70080466831072e-07	5.54128891053261e-05	3.58394298272121e-05	BECN1/HDAC6/MAPK8/SPHK1/FOXO1/MAPK3/MAPK9	7
BP	GO:0060249	anatomical structure homeostasis	10/59	439/18670	1.04613366341186e-06	5.83344057073946e-05	3.77289809937259e-05	BAX/PARP1/CHMP4B/GAA/MAP2K7/STK11/HIF1A/HSP90AB1/MAPK3/TP53INP2	10
BP	GO:0071496	cellular response to external stimulus	9/59	339/18670	1.09063287235895e-06	5.94014462108063e-05	3.84191114644929e-05	WDR45/BECN1/MAPK8/NFKB1/TSC1/HSPA8/ATF4/FOXO1/MAPK3	9
BP	GO:1903203	regulation of oxidative stress-induced neuron death	4/59	26/18670	1.2764699439706e-06	6.79430138358894e-05	4.39435466357341e-05	PARP1/TSC1/ATF4/HIF1A	4
BP	GO:0006986	response to unfolded protein	7/59	176/18670	1.32517294971789e-06	6.89650259614217e-05	4.46045540736599e-05	BAX/HSPA8/ATF4/ATF6/CANX/MBTPS2/HSP90AB1	7
BP	GO:0070997	neuron death	9/59	348/18670	1.35456498472476e-06	6.89650259614217e-05	4.46045540736599e-05	BAX/PARP1/TSC1/ATF4/CHMP4B/CLN3/HIF1A/HSP90AB1/TBK1	9
BP	GO:0036475	neuron death in response to oxidative stress	4/59	27/18670	1.49493673427918e-06	7.44923793974859e-05	4.81794840006212e-05	PARP1/TSC1/ATF4/HIF1A	4
BP	GO:0010038	response to metal ion	9/59	362/18670	1.8747215209482e-06	9.13709933462902e-05	5.90960759698466e-05	BECN1/EEF2K/MAPK8/PARP1/CDKN1B/ATF4/HIF1A/MAPK3/MAPK9	9
BP	GO:0031668	cellular response to extracellular stimulus	8/59	268/18670	1.91169029631436e-06	9.13709933462902e-05	5.90960759698466e-05	WDR45/BECN1/MAPK8/TSC1/HSPA8/ATF4/FOXO1/MAPK3	8
BP	GO:0036293	response to decreased oxygen levels	9/59	370/18670	2.24320427162623e-06	0.000104998250741767	6.79097859757304e-05	ARNT/BECN1/EEF2K/RAF1/TSC1/CDKN1B/ATF4/P4HB/HIF1A	9
BP	GO:0042594	response to starvation	7/59	191/18670	2.2864691664518e-06	0.000104998250741767	6.79097859757304e-05	WDR45/BECN1/MAPK8/HSPA8/ATF4/FOXO1/MAPK3	7
BP	GO:0016242	negative regulation of macroautophagy	4/59	33/18670	3.43668926851068e-06	0.000151862759751925	9.8220374526055e-05	BECN1/TSC1/TSC2/CHMP4B	4
BP	GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	4/59	33/18670	3.43668926851068e-06	0.000151862759751925	9.8220374526055e-05	ATF4/ATF6/HIF1A/MBTPS2	4
BP	GO:0043276	anoikis	4/59	34/18670	3.88574789491139e-06	0.000168526325368194	0.00010899787954732	TSC2/DAPK2/ITGB1/STK11	4
BP	GO:1901215	negative regulation of neuron death	7/59	208/18670	4.02087118973805e-06	0.000171216005933936	0.000110737485971924	BAX/TSC1/ATF4/CHMP4B/CLN3/HIF1A/HSP90AB1	7
BP	GO:0043619	regulation of transcription from RNA polymerase II promoter in response to oxidative stress	3/59	11/18670	4.85794534668598e-06	0.000199601894770852	0.000129096645501037	ARNT/ATF4/HIF1A	3
BP	GO:1990440	positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	3/59	11/18670	4.85794534668598e-06	0.000199601894770852	0.000129096645501037	ATF4/ATF6/MBTPS2	3
BP	GO:0034620	cellular response to unfolded protein	6/59	140/18670	5.18912528493884e-06	0.000209533300298737	0.000135519987024083	BAX/HSPA8/ATF4/ATF6/CANX/MBTPS2	6
BP	GO:0009411	response to UV	6/59	141/18670	5.40657208553969e-06	0.000214613420751423	0.00013880565978754	BAX/MAPK8/PARP1/ATF4/MAP2K7/STK11	6
BP	GO:0009416	response to light stimulus	8/59	314/18670	6.16225970665903e-06	0.000240533537216591	0.000155570030138287	BAX/MAPK8/PARP1/ATF4/ITGB1/MAP2K7/STK11/HIF1A	8
BP	GO:1903829	positive regulation of cellular protein localization	8/59	324/18670	7.74933796489788e-06	0.000297523762521161	0.000192429634710752	ERBB2/MAPK8/PARP1/TP73/ITGB1/STK11/HSP90AB1/RAB11A	8
BP	GO:0000302	response to reactive oxygen species	7/59	232/18670	8.23082469766591e-06	0.000310912765192477	0.000201089248555879	BECN1/HDAC6/MAPK8/SPHK1/FOXO1/MAPK3/MAPK9	7
BP	GO:0071453	cellular response to oxygen levels	7/59	234/18670	8.70477713522666e-06	0.00032359663572541	0.000209292803635609	ARNT/EEF2K/TSC1/ATF4/P4HB/FOXO1/HIF1A	7
BP	GO:0046777	protein autophosphorylation	7/59	235/18670	8.95012451760089e-06	0.000327518619065958	0.000211829427316245	EEF2K/ERBB2/ULK3/DAPK2/STK11/PTK6/MAPK3	7
BP	GO:0007050	cell cycle arrest	7/59	237/18670	9.45807837082924e-06	0.000340781839145878	0.000220407688674061	BAX/PRKAB1/TP73/CDKN1B/MLST8/STK11/HSP90AB1	7
BP	GO:0034198	cellular response to amino acid starvation	4/59	43/18670	1.01233556274425e-05	0.000359225740598036	0.00023233666264577	BECN1/MAPK8/ATF4/MAPK3	4
BP	GO:0038093	Fc receptor signaling pathway	7/59	241/18670	1.05460023728234e-05	0.000368637873987349	0.000238424154194703	MAPK8/NFKB1/IKBKB/MAP2K7/HSP90AB1/MAPK3/MAPK9	7
BP	GO:1990928	response to amino acid starvation	4/59	46/18670	1.32918782123834e-05	0.000457787923138263	0.000296083788662844	BECN1/MAPK8/ATF4/MAPK3	4
BP	GO:0038095	Fc-epsilon receptor signaling pathway	6/59	169/18670	1.52462655665081e-05	0.000517489187779158	0.000334696813885662	MAPK8/NFKB1/IKBKB/MAP2K7/MAPK3/MAPK9	6
BP	GO:0032006	regulation of TOR signaling	5/59	105/18670	2.01054210787574e-05	0.000663572999817193	0.000429179534692319	TSC1/TSC2/MLST8/STK11/HIF1A	5
BP	GO:0032007	negative regulation of TOR signaling	4/59	51/18670	2.01168586622633e-05	0.000663572999817193	0.000429179534692319	TSC1/TSC2/STK11/HIF1A	4
BP	GO:0010821	regulation of mitochondrion organization	6/59	179/18670	2.11149252904106e-05	0.00067741308260468	0.000438130893913495	BAX/HDAC6/MAPK8/TP73/TSC2/HIF1A	6
BP	GO:2001235	positive regulation of apoptotic signaling pathway	6/59	179/18670	2.11149252904106e-05	0.00067741308260468	0.000438130893913495	BAX/BECN1/MAPK8/TP73/PEA15/MAPK9	6
BP	GO:0031667	response to nutrient levels	9/59	499/18670	2.48036911344747e-05	0.000785003305904591	0.000507717091643088	WDR45/BECN1/MAPK8/TSC1/HSPA8/ATF4/ARSB/FOXO1/MAPK3	9
BP	GO:1905475	regulation of protein localization to membrane	6/59	187/18670	2.70179949055024e-05	0.000843681920915822	0.000545668697109024	ERBB2/MAPK8/TP73/ITGB1/GOPC/RAB11A	6
BP	GO:0042789	mRNA transcription by RNA polymerase II	3/59	19/18670	2.80205223328019e-05	0.00086347451715029	0.00055846996727011	ARNT/ATF4/HIF1A	3
BP	GO:0045787	positive regulation of cell cycle	8/59	389/18670	2.89634091091907e-05	0.000880939014723695	0.000569765491566991	BAX/BECN1/TP73/CDKN1B/SPHK1/PTK6/HSP90AB1/RAB11A	8
BP	GO:0010822	positive regulation of mitochondrion organization	5/59	116/18670	3.25228376869514e-05	0.000975080679366919	0.0006306535563886	BAX/HDAC6/MAPK8/TP73/HIF1A	5
BP	GO:1903204	negative regulation of oxidative stress-induced neuron death	3/59	20/18670	3.28912782536237e-05	0.000975080679366919	0.0006306535563886	TSC1/ATF4/HIF1A	3
BP	GO:0030968	endoplasmic reticulum unfolded protein response	5/59	121/18670	3.98278100597494e-05	0.00115156458222139	0.000744798163430531	BAX/ATF4/ATF6/CANX/MBTPS2	5
BP	GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	5/59	121/18670	3.98278100597494e-05	0.00115156458222139	0.000744798163430531	ARNT/ATF4/ATF6/HIF1A/MBTPS2	5
BP	GO:0007040	lysosome organization	4/59	61/18670	4.10320992140315e-05	0.00115510863373707	0.000747090351902399	BECN1/CLN3/GAA/ARSB	4
BP	GO:0080171	lytic vacuole organization	4/59	61/18670	4.10320992140315e-05	0.00115510863373707	0.000747090351902399	BECN1/CLN3/GAA/ARSB	4
BP	GO:1905477	positive regulation of protein localization to membrane	5/59	122/18670	4.14300278539343e-05	0.00115510863373707	0.000747090351902399	ERBB2/MAPK8/TP73/ITGB1/RAB11A	5
BP	GO:0000423	mitophagy	3/59	22/18670	4.42327401098076e-05	0.00121874208631964	0.000788246600842267	BECN1/HDAC6/TSC2	3
BP	GO:0031929	TOR signaling	5/59	125/18670	4.65378684898864e-05	0.00125487455196918	0.000811616018824956	TSC1/TSC2/MLST8/STK11/HIF1A	5
BP	GO:0046686	response to cadmium ion	4/59	63/18670	4.66157497956099e-05	0.00125487455196918	0.000811616018824956	MAPK8/CDKN1B/MAPK3/MAPK9	4
BP	GO:0043620	regulation of DNA-templated transcription in response to stress	5/59	127/18670	5.02048279118543e-05	0.00133613303374503	0.000864171619200459	ARNT/ATF4/ATF6/HIF1A/MBTPS2	5
BP	GO:0043523	regulation of neuron apoptotic process	6/59	210/18670	5.17008350197877e-05	0.00136048714175666	0.000879923141259308	BAX/PARP1/ATF4/CLN3/HIF1A/HSP90AB1	6
BP	GO:0032869	cellular response to insulin stimulus	6/59	216/18670	6.04561564304722e-05	0.00157320353733518	0.00101750186085906	CAPN10/EEF2K/PARP1/TSC1/TSC2/FOXO1	6
BP	GO:0035690	cellular response to drug	8/59	433/18670	6.17485652123935e-05	0.00157892009180225	0.0010211991604582	BECN1/HDAC6/NFKB1/ATF4/SPHK1/FOXO1/HSP90AB1/MAPK3	8
BP	GO:0036294	cellular response to decreased oxygen levels	6/59	217/18670	6.20241880639656e-05	0.00157892009180225	0.0010211991604582	ARNT/EEF2K/TSC1/ATF4/P4HB/HIF1A	6
BP	GO:0043434	response to peptide hormone	8/59	436/18670	6.48071858487701e-05	0.00162559080473009	0.00105138440739207	CAPN10/EEF2K/NFKB1/PARP1/TSC1/TSC2/CDKN1B/FOXO1	8
BP	GO:0009299	mRNA transcription	3/59	25/18670	6.56179406072965e-05	0.00162559080473009	0.00105138440739207	ARNT/ATF4/HIF1A	3
BP	GO:0071375	cellular response to peptide hormone stimulus	7/59	321/18670	6.5939849039009e-05	0.00162559080473009	0.00105138440739207	CAPN10/EEF2K/NFKB1/PARP1/TSC1/TSC2/FOXO1	7
BP	GO:0033135	regulation of peptidyl-serine phosphorylation	5/59	139/18670	7.71407184123253e-05	0.00188191210960068	0.00121716550214184	BAX/HDAC6/RAF1/HSP90AB1/TBK1	5
BP	GO:0009314	response to radiation	8/59	448/18670	7.83354373442103e-05	0.0018889418632635	0.00122171214042706	BAX/MAPK8/PARP1/ATF4/ITGB1/MAP2K7/STK11/HIF1A	8
BP	GO:0071214	cellular response to abiotic stimulus	7/59	331/18670	7.99209204805038e-05	0.0018889418632635	0.00122171214042706	BAX/MAPK8/NFKB1/PARP1/ATF4/STK11/MAPK3	7
BP	GO:0104004	cellular response to environmental stimulus	7/59	331/18670	7.99209204805038e-05	0.0018889418632635	0.00122171214042706	BAX/MAPK8/NFKB1/PARP1/ATF4/STK11/MAPK3	7
BP	GO:0090150	establishment of protein localization to membrane	7/59	332/18670	8.14429280966375e-05	0.0018889418632635	0.00122171214042706	BAX/ERBB2/MAPK8/TP73/CHMP4B/GOPC/RAB11A	7
BP	GO:0032147	activation of protein kinase activity	7/59	333/18670	8.29885528212501e-05	0.0018889418632635	0.00122171214042706	RAF1/TP73/MAP2K7/MLST8/STK11/PEA15/MAPK3	7
BP	GO:0046885	regulation of hormone biosynthetic process	3/59	27/18670	8.30747275474554e-05	0.0018889418632635	0.00122171214042706	ARNT/NFKB1/HIF1A	3
BP	GO:1902175	regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	3/59	27/18670	8.30747275474554e-05	0.0018889418632635	0.00122171214042706	PARP1/P4HB/HIF1A	3
BP	GO:0007034	vacuolar transport	5/59	143/18670	8.82276230884177e-05	0.00198681820454879	0.0012850156844558	BECN1/HSPA8/CHMP4B/LAMP1/ARSB	5
BP	GO:0043405	regulation of MAP kinase activity	7/59	337/18670	8.94128451526761e-05	0.00199433222235778	0.00128987553057344	ERBB2/RAF1/TP73/MAP2K7/PEA15/MAPK8IP1/MAPK3	7
BP	GO:0071236	cellular response to antibiotic	5/59	147/18670	0.000100502570644161	0.00220769476396454	0.0014278721584543	BECN1/HDAC6/CDKN1B/SPHK1/FOXO1	5
BP	GO:0032872	regulation of stress-activated MAPK cascade	6/59	237/18670	0.000100863936696928	0.00220769476396454	0.0014278721584543	MAP2K7/SPHK1/FOXO1/MAPK8IP1/MAPK3/NBR1	6
BP	GO:0010575	positive regulation of vascular endothelial growth factor production	3/59	29/18670	0.000103314272973442	0.00224038914170186	0.0014490179221129	ARNT/ATF4/HIF1A	3
BP	GO:0051402	neuron apoptotic process	6/59	239/18670	0.00010562189122219	0.00224878608402153	0.0014544488178826	BAX/PARP1/ATF4/CLN3/HIF1A/HSP90AB1	6
BP	GO:0070302	regulation of stress-activated protein kinase signaling cascade	6/59	239/18670	0.00010562189122219	0.00224878608402153	0.0014544488178826	MAP2K7/SPHK1/FOXO1/MAPK8IP1/MAPK3/NBR1	6
BP	GO:0045913	positive regulation of carbohydrate metabolic process	4/59	79/18670	0.000113242016063596	0.00236797144304413	0.00153153440898041	ARNT/NFKB1/FOXO1/HIF1A	4
BP	GO:1900034	regulation of cellular response to heat	4/59	79/18670	0.000113242016063596	0.00236797144304413	0.00153153440898041	HSPA8/MLST8/HSP90AB1/MAPK3	4
BP	GO:0001844	protein insertion into mitochondrial membrane involved in apoptotic signaling pathway	3/59	30/18670	0.000114536086249577	0.00237383640704875	0.00153532769551132	BAX/MAPK8/TP73	3
BP	GO:0009266	response to temperature stimulus	6/59	243/18670	0.000115673557250789	0.00237638132527497	0.00153697367390475	HSPA8/MAP2K7/MLST8/FOXO1/HSP90AB1/MAPK3	6
BP	GO:0001890	placenta development	5/59	152/18670	0.000117646410657603	0.00239589472834874	0.00154959437012623	ARNT/CDKN1B/HIF1A/HSP90AB1/MAPK3	5
BP	GO:0010833	telomere maintenance via telomere lengthening	4/59	82/18670	0.000130898875378441	0.00262021509518213	0.00169467819765701	PARP1/MAP2K7/HSP90AB1/MAPK3	4
BP	GO:0034644	cellular response to UV	4/59	82/18670	0.000130898875378441	0.00262021509518213	0.00169467819765701	BAX/PARP1/ATF4/STK11	4
BP	GO:0002833	positive regulation of response to biotic stimulus	6/59	249/18670	0.000132163075317506	0.00262310103723389	0.00169654474024881	NFKB1/RAF1/IKBKB/LAMP1/TBK1/MAPK3	6
BP	GO:0016049	cell growth	8/59	484/18670	0.000133742966725056	0.00263215149638723	0.00170239831152017	ERBB2/HDAC6/CDKN1B/ITGB1/SPHK1/STK11/HSP90AB1/RAB11A	8
BP	GO:0048871	multicellular organismal homeostasis	8/59	486/18670	0.000137586672145168	0.00268523321803319	0.00173673001067453	BAX/PRKAB1/ATF4/CHMP4B/STK11/FOXO1/RAB11A/TP53INP2	8
BP	GO:0010507	negative regulation of autophagy	4/59	84/18670	0.00014372603415204	0.00278187084284361	0.00179923238925433	BECN1/TSC1/TSC2/CHMP4B	4
BP	GO:0043406	positive regulation of MAP kinase activity	6/59	258/18670	0.000160343724392359	0.00307807379120414	0.00199080776014327	ERBB2/RAF1/TP73/MAP2K7/PEA15/MAPK3	6
BP	GO:0010574	regulation of vascular endothelial growth factor production	3/59	34/18670	0.000167304286756174	0.00318558243563381	0.00206034119505463	ARNT/ATF4/HIF1A	3
BP	GO:1901030	positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway	3/59	35/18670	0.000182578737677989	0.00344838228743428	0.00223031242375744	BAX/MAPK8/TP73	3
BP	GO:0010573	vascular endothelial growth factor production	3/59	36/18670	0.000198730229785013	0.00369385871552778	0.00238907937059844	ARNT/ATF4/HIF1A	3
BP	GO:0051973	positive regulation of telomerase activity	3/59	36/18670	0.000198730229785013	0.00369385871552778	0.00238907937059844	MAP2K7/HSP90AB1/MAPK3	3
BP	GO:1901653	cellular response to peptide	7/59	385/18670	0.000203546225070461	0.0037535847174411	0.00242770839516281	CAPN10/EEF2K/NFKB1/PARP1/TSC1/TSC2/FOXO1	7
BP	GO:0032868	response to insulin	6/59	272/18670	0.000213441809752294	0.00390531811281151	0.00252584510060486	CAPN10/EEF2K/PARP1/TSC1/TSC2/FOXO1	6
BP	GO:0071276	cellular response to cadmium ion	3/59	37/18670	0.000215780414982713	0.00391750179759313	0.00253372515022541	MAPK8/MAPK3/MAPK9	3
BP	GO:0009408	response to heat	5/59	176/18670	0.000233260464847822	0.00417896334905467	0.00270283080555965	HSPA8/MAP2K7/MLST8/HSP90AB1/MAPK3	5
BP	GO:0032350	regulation of hormone metabolic process	3/59	38/18670	0.00023375072533141	0.00417896334905467	0.00270283080555965	ARNT/NFKB1/HIF1A	3
BP	GO:0001959	regulation of cytokine-mediated signaling pathway	5/59	177/18670	0.000239465259911473	0.00424869423267173	0.00274793069388045	IKBKB/SPHK1/HIF1A/HSP90AB1/TBK1	5
BP	GO:0002831	regulation of response to biotic stimulus	7/59	400/18670	0.000256938277646162	0.00452443192667151	0.00292626973908055	NFKB1/RAF1/IKBKB/LAMP1/HSP90AB1/TBK1/MAPK3	7
BP	GO:0070301	cellular response to hydrogen peroxide	4/59	99/18670	0.000270698242477624	0.00472458062338315	0.00305572004002353	BECN1/HDAC6/SPHK1/FOXO1	4
