ARGgene	lncRNA	cor	pvalue
BAX	AL355488.1	0.375168071910227	2.84070567730253e-06
BCL2	AL355488.1	0.4407403195137	2.31348630167151e-08
CAPN10	AL355488.1	0.504178314427299	7.49800298496111e-11
CASP3	AL355488.1	0.401503157894385	4.65217215139267e-07
CD46	AL355488.1	0.347959896137116	1.57085617803534e-05
CDKN1B	AL355488.1	0.587568751554882	5.15360022511311e-15
CDKN2A	AL355488.1	0.430904529643442	5.08980480271697e-08
CFLAR	AL355488.1	0.314697653683201	0.000103584484976053
CHMP4B	AL355488.1	0.31620429904655	9.55446732774478e-05
CXCR4	AL355488.1	0.385886409383808	1.38618648960299e-06
HDAC6	AL355488.1	0.540940581934468	1.51515366539739e-12
IKBKB	AL355488.1	0.40098237250373	4.82905801360438e-07
IKBKE	AL355488.1	0.500036215395499	1.13102438490428e-10
ITGA6	AL355488.1	-0.300359897600795	0.000218761245942587
MAP1LC3A	AL355488.1	0.360066699388464	7.48210672927409e-06
MAPK8	AL355488.1	0.448113213406196	1.2599847118491e-08
MAPK9	AL355488.1	0.317108849558188	9.10019392787689e-05
MTMR14	AL355488.1	0.304703202964802	0.000175132636705482
NKX2-3	AL355488.1	0.575164800532968	2.55299174099146e-14
PARP1	AL355488.1	0.343737376554098	2.02024520840159e-05
PRKAB1	AL355488.1	0.399642097585379	5.31428248540947e-07
RAB24	AL355488.1	0.400023540550136	5.17164682966506e-07
RAC1	AL355488.1	0.374313739271794	3.00462611015635e-06
RAF1	AL355488.1	0.387951075072081	1.20370382758892e-06
RHEB	AL355488.1	0.402128274628153	4.4480117782001e-07
TP73	AL355488.1	0.478507133241476	8.7878507532048e-10
TSC1	AL355488.1	0.367951021298554	4.54026835191099e-06
TSC2	AL355488.1	0.364632762739177	5.61157374150943e-06
ULK3	AL355488.1	0.444214049276077	1.74064606641952e-08
WDR45	AL355488.1	0.326692421069825	5.37939185561907e-05
ATF4	AC026740.1	0.335503098160139	3.26586571024492e-05
ATG4B	AC026740.1	0.412305087090471	2.11456577010231e-07
ATIC	AC026740.1	0.384205700334596	1.55387624044474e-06
BAX	AC026740.1	0.386327627418298	1.3451058803154e-06
BNIP1	AC026740.1	0.335533718677885	3.26011944867486e-05
CAPN10	AC026740.1	0.325425752503982	5.77232390803578e-05
CLN3	AC026740.1	0.593824757162525	2.24000428112407e-15
CTSD	AC026740.1	0.384945379783982	1.47782723626046e-06
GNAI3	AC026740.1	-0.307533081832412	0.000151220677798926
HIF1A	AC026740.1	-0.328859562320025	4.76470157663755e-05
PELP1	AC026740.1	0.442861648812895	1.94526237026954e-08
RAC1	AC026740.1	0.406158233918461	3.32323424884764e-07
RB1CC1	AC026740.1	-0.305287927811265	0.000169920717298814
WDFY3	AC026740.1	-0.316332167001346	9.48898953780783e-05
WIPI2	AC026740.1	0.372746829771293	3.32886906363739e-06
EIF2S1	KTN1-AS1	0.76183633743125	3.91301962775969e-29
HIF1A	KTN1-AS1	0.382832097061344	1.70508181205699e-06
MYC	KTN1-AS1	0.407755690455662	2.95742039962797e-07
ARNT	LINC02542	0.353532012333844	1.12078592467911e-05
ATF6	LINC02542	0.500062935878373	1.12804897163071e-10
CASP3	LINC02542	0.33487995148634	3.38489471704788e-05
CD46	LINC02542	0.372079218906644	3.47687481141471e-06
DNAJB9	LINC02542	0.357633256275983	8.70622746588943e-06
EIF2AK3	LINC02542	0.448308314870246	1.23964254453555e-08
KIF5B	LINC02542	0.307188087495195	0.000153963685621027
KLHL24	LINC02542	0.462497781581568	3.6907226620995e-09
MBTPS2	LINC02542	0.393072873484785	8.44574278456878e-07
NAF1	LINC02542	0.428273790535717	6.25839251577297e-08
NBR1	LINC02542	0.322691517970092	6.71401463531187e-05
NFE2L2	LINC02542	0.326855137738952	5.33077368920527e-05
PRKAR1A	LINC02542	0.388815031498555	1.13434175753414e-06
RAB33B	LINC02542	0.467553694946576	2.36453404897224e-09
SIRT1	LINC02542	0.368135130987232	4.48690509096412e-06
VAMP3	LINC02542	0.344477050854312	1.93364510408701e-05
WDFY3	LINC02542	0.309612272264559	0.000135630028990056
ATG10	AC012213.4	0.315410937169742	9.97025648609715e-05
ATG16L2	AC012213.4	0.412051129520166	2.15481995630192e-07
CDKN1B	AC012213.4	0.321951658167563	6.99252530121498e-05
EIF4EBP1	AC012213.4	0.342269122622326	2.20308443145987e-05
ATG16L2	MALAT1	0.4306519850861	5.19219707703839e-08
ATG2B	MALAT1	0.406226502115936	3.30675392694185e-07
ATG9B	MALAT1	0.33312958892297	3.74141987589751e-05
NFE2L2	MALAT1	0.456700758186291	6.09518226446819e-09
RB1CC1	MALAT1	0.301844611501442	0.000202822931389781
ATG5	AC245595.1	0.364577537919521	5.63128137900227e-06
CFLAR	AC245595.1	-0.306494342413488	0.000159620424432684
EIF2S1	AC245595.1	0.338471222489193	2.75097849245742e-05
ERBB2	AC245595.1	-0.351910213929538	1.23731903880018e-05
FADD	AC245595.1	0.301893487971516	0.000202317077488526
HSP90AB1	AC245595.1	0.376148489349475	2.66306006597838e-06
IL24	AC245595.1	0.312664717851877	0.000115436858917296
MAP1LC3B	AC245595.1	0.307576829857246	0.000150876113660359
ULK3	AC245595.1	-0.30111317937448	0.0002105348174209
CAMKK2	CASC19	0.366228510289266	5.06953254151518e-06
HSP90AB1	CASC19	0.303391847923264	0.000187366983466164
SPNS1	CASC19	0.30378967746813	0.00018357389615008
AMBRA1	ZSCAN16-AS1	-0.390457911878364	1.01280714946484e-06
ATF4	ZSCAN16-AS1	0.328817681778899	4.77592900763024e-05
ATG4B	ZSCAN16-AS1	0.373856716362955	3.09596198731952e-06
BAX	ZSCAN16-AS1	0.49458263176078	1.92711007097021e-10
BECN1	ZSCAN16-AS1	-0.41435484976854	1.81497677644979e-07
BIRC5	ZSCAN16-AS1	0.303712386725765	0.000184305183245268
BIRC6	ZSCAN16-AS1	-0.372971463633346	3.28042778366251e-06
BNIP1	ZSCAN16-AS1	0.472840611518997	1.47283335753426e-09
CANX	ZSCAN16-AS1	-0.300162391566555	0.000220967051428221
CAPN1	ZSCAN16-AS1	-0.307470608777616	0.000151713993277867
CLN3	ZSCAN16-AS1	0.636257938340549	4.72515582224946e-18
EIF2AK2	ZSCAN16-AS1	-0.385253647933569	1.44719022564471e-06
EIF4EBP1	ZSCAN16-AS1	0.714582219513757	2.90081405918305e-24
FOXO3	ZSCAN16-AS1	-0.324821551990364	5.96908389939742e-05
HGS	ZSCAN16-AS1	-0.380919664271523	1.9390544319058e-06
MLST8	ZSCAN16-AS1	0.317303214843874	9.0052542549738e-05
MTOR	ZSCAN16-AS1	-0.355850340429574	9.72082050784677e-06
NCKAP1	ZSCAN16-AS1	-0.309721012749282	0.00013485740134793
NFKB1	ZSCAN16-AS1	-0.322658072470917	6.72637725528356e-05
PELP1	ZSCAN16-AS1	0.683862288641338	1.3505044409753e-21
RB1	ZSCAN16-AS1	-0.412712629586124	2.05146617310018e-07
SAR1A	ZSCAN16-AS1	0.353218341520682	1.14248300848089e-05
WDFY3	ZSCAN16-AS1	-0.324594958209007	6.04448209546701e-05
CLN3	AC012065.3	0.463870805469276	3.27272887359597e-09
FKBP1A	AC012065.3	0.357500374194538	8.7782501137446e-06
IL24	AC012065.3	0.334488257940753	3.46178756202221e-05
PELP1	AC012065.3	0.310991783174397	0.000126127313303625
RAB5A	AC012065.3	-0.356658859798385	9.24760177047686e-06
SPHK1	AC012065.3	0.377611732326764	2.4174311884088e-06
ATF4	APTR	0.557927742105692	2.11621794797776e-13
ATG10	APTR	0.471811365795728	1.61604094367653e-09
ATG12	APTR	0.382442452529885	1.75045863739291e-06
ATG3	APTR	0.454983259820569	7.05928922698024e-09
ATG4B	APTR	0.4556118808338	6.69051946842963e-09
ATG4D	APTR	0.604414132582276	5.24302141034962e-16
BAX	APTR	0.415207671632442	1.70268813432366e-07
BCL2	APTR	0.386324434645027	1.34539894505031e-06
BID	APTR	0.395588815620861	7.08099524965857e-07
BNIP1	APTR	0.423122352489103	9.33331196322333e-08
CAPN10	APTR	0.441642815608663	2.14930994424305e-08
CASP3	APTR	0.436199734221014	3.33963144189857e-08
CD46	APTR	0.404141680384963	3.84698933364948e-07
CDKN1B	APTR	0.467344173603893	2.40891467177322e-09
CDKN2A	APTR	0.309393169521053	0.000137199357814145
CXCR4	APTR	0.32665371000476	5.39101940767038e-05
DDIT3	APTR	0.441096337207302	2.24733236591676e-08
ERBB2	APTR	0.322936283764951	6.62418621116054e-05
GABARAPL2	APTR	0.325714369583106	5.68049544149956e-05
HDAC6	APTR	0.409447967681256	2.61198460818854e-07
IKBKB	APTR	0.38732916546412	1.2561129029138e-06
IKBKE	APTR	0.380729367321464	1.96393698247622e-06
ITGA3	APTR	-0.335792235758007	3.21198345800024e-05
ITGA6	APTR	-0.349677534299527	1.41656687334964e-05
MAP1LC3A	APTR	0.529513920678628	5.35937347378041e-12
MAP2K7	APTR	0.303521033768648	0.000186127347201483
MAPK8	APTR	0.400855711357005	4.87303916613209e-07
MAPK8IP1	APTR	0.42734636600891	6.72860966292534e-08
NKX2-3	APTR	0.534140384762046	3.23184578211773e-12
PARP1	APTR	0.433037458522398	4.29895555773973e-08
PELP1	APTR	0.302724742023895	0.000193891498512528
PPP1R15A	APTR	0.324208915112217	6.17499525819123e-05
PRKAB1	APTR	0.515153827637209	2.45550782842706e-11
RAB24	APTR	0.315113144858372	0.000101306422575134
RAB33B	APTR	0.310375034237808	0.000130296306385485
RAC1	APTR	0.358759817098701	8.11768390549635e-06
RAF1	APTR	0.358110576601804	8.45209965985963e-06
RHEB	APTR	0.448907392912543	1.17913427438704e-08
SQSTM1	APTR	0.390049400220997	1.04181293065927e-06
TP53	APTR	0.397381846321957	6.23961246253397e-07
TP73	APTR	0.461317103575564	4.09087298897514e-09
TSC2	APTR	0.395600109191759	7.07537215825139e-07
ULK2	APTR	0.314474921661455	0.000104825293860215
ULK3	APTR	0.340393947104481	2.45930461656652e-05
WDR45	APTR	0.345306797642275	1.84066681112016e-05
IKBKB	AC093297.2	0.320669331911661	7.50101409054769e-05
ARSB	PCED1B-AS1	0.388633034386674	1.14862909216695e-06
ATG4C	PCED1B-AS1	0.372372411190698	3.41112270888669e-06
ATG7	PCED1B-AS1	0.46711438537789	2.45851113062617e-09
BCL2	PCED1B-AS1	0.381165809462987	1.90731367769757e-06
BNIP3	PCED1B-AS1	-0.301610967596934	0.000205257346430136
CALCOCO2	PCED1B-AS1	0.318939743405013	8.24180783658736e-05
CASP1	PCED1B-AS1	0.326423905172412	5.46053193681605e-05
CCL2	PCED1B-AS1	0.348206639992501	1.54775641989536e-05
CCR2	PCED1B-AS1	0.596058844700193	1.65622219493177e-15
CFLAR	PCED1B-AS1	0.452553971812267	8.67692770521707e-09
CX3CL1	PCED1B-AS1	0.419994859540855	1.18579773707387e-07
CXCR4	PCED1B-AS1	0.587469650984547	5.22132210644067e-15
DRAM1	PCED1B-AS1	0.366245398359106	5.06407068175709e-06
FAS	PCED1B-AS1	0.404729134135705	3.68678726597755e-07
HDAC6	PCED1B-AS1	0.329347634138702	4.63567108376829e-05
IFNG	PCED1B-AS1	0.596341535628113	1.59387243783458e-15
IKBKE	PCED1B-AS1	0.301016265415054	0.000211576837661361
ITGA6	PCED1B-AS1	-0.314238321397418	0.00010615855537174
ITPR1	PCED1B-AS1	0.338929276030067	2.6786775589306e-05
MTMR14	PCED1B-AS1	0.561456169965411	1.38626171991745e-13
NCKAP1	PCED1B-AS1	-0.356099533237771	9.57258364981559e-06
RGS19	PCED1B-AS1	0.307339482414006	0.000152754305736623
SERPINA1	PCED1B-AS1	0.404576258919598	3.72785281995142e-07
TP53	PCED1B-AS1	0.323413076140264	6.45242704242688e-05
TP63	PCED1B-AS1	-0.375883928549098	2.70992854093102e-06
ATG16L2	LINC00685	0.426552109603719	7.15805952830275e-08
ATG4B	LINC00685	0.380553413923683	1.98721384522226e-06
BAX	LINC00685	0.334979149579805	3.36567761108741e-05
CAPN10	LINC00685	0.390760453362175	9.91823141944857e-07
CLN3	LINC00685	0.38444770880375	1.52859389683771e-06
GNAI3	LINC00685	-0.365592951699834	5.2791876691666e-06
ITGB1	LINC00685	-0.32646699582054	5.44743398349086e-05
RB1	LINC00685	-0.302503508480157	0.000196101469607862
ULK3	LINC00685	0.356250693313327	9.48370731332429e-06
ATF4	ASH1L-AS1	0.342751888409369	2.1413127513593e-05
ATG4D	ASH1L-AS1	0.30580063394013	0.000165469899997424
BAX	ASH1L-AS1	0.4551433203931	6.96357841003788e-09
BID	ASH1L-AS1	0.423734073656836	8.90380087422124e-08
CLN3	ASH1L-AS1	0.316107887105132	9.60411623563726e-05
DAPK2	ASH1L-AS1	0.340924109687825	2.38415453881705e-05
DDIT3	ASH1L-AS1	0.396087791225855	6.83657495336164e-07
GABARAPL2	ASH1L-AS1	0.381617785105763	1.85031278286522e-06
IKBKB	ASH1L-AS1	0.304959513993301	0.000172829970232071
ITGA3	ASH1L-AS1	-0.306328571876042	0.000161000455643695
ITGB1	ASH1L-AS1	-0.303924993548246	0.000182300097778642
MLST8	ASH1L-AS1	0.333050608385034	3.75831076218543e-05
NAF1	ASH1L-AS1	0.335527944341622	3.26120233578231e-05
NFE2L2	ASH1L-AS1	0.374124124754087	3.04220561809845e-06
PELP1	ASH1L-AS1	0.316446557275152	9.43076888834845e-05
WIPI2	ASH1L-AS1	0.301408257836108	0.000207391423805591
BNIP1	AC113346.1	0.306159178303256	0.000162422119080213
IL24	AC113346.1	0.490789113051136	2.776550452102e-10
ATF4	GPRC5D-AS1	0.363334197562124	6.09272765992443e-06
DDIT3	GPRC5D-AS1	0.361139823152817	6.99572029360051e-06
DNAJB1	GPRC5D-AS1	0.373305242567896	3.20968367281668e-06
PINK1	GPRC5D-AS1	-0.314007855584197	0.000107472458634767
PPP1R15A	GPRC5D-AS1	0.337526851753852	2.90587575941189e-05
HSPB8	AL137246.2	0.338438361426869	2.75623537447691e-05
PINK1	AL137246.2	0.501857254118504	9.44667683528444e-11
PRKCQ	AL137246.2	0.514910846591673	2.51803776028631e-11
SIRT2	AL137246.2	0.702649820350871	3.46195079987231e-23
ATG16L2	AC009902.2	0.305330666409477	0.000169545487546551
ATG9B	AC009902.2	0.366504529363366	4.98095979331452e-06
DRAM1	AC009902.2	-0.344356854780019	1.94747527368523e-05
EIF4EBP1	AC009902.2	0.45485181873565	7.1388319446771e-09
RAB24	AC009902.2	0.345720675143853	1.79588040049454e-05
ATF4	AC005726.3	0.375131343367017	2.84757454400132e-06
ATG16L2	AC005726.3	0.390379528876108	1.01831230272967e-06
ATG4B	AC005726.3	0.329772100441222	4.52612877841867e-05
ATG4D	AC005726.3	0.33848646701755	2.74854298439165e-05
BAX	AC005726.3	0.35664457953148	9.25576758251725e-06
CAPN10	AC005726.3	0.472130424710574	1.57026987522322e-09
GAPDH	AC005726.3	0.359108281829274	7.9433951880532e-06
IKBKE	AC005726.3	0.345851632781892	1.78192456565825e-05
ITGB1	AC005726.3	-0.304421806347906	0.000177693528878364
PARP1	AC005726.3	0.33789866092382	2.84393674353203e-05
RAB24	AC005726.3	0.375988257245965	2.69135332786363e-06
ULK3	AC005726.3	0.404467680177361	3.75728429903529e-07
FKBP1B	AC004846.1	0.509701667262093	4.29664453833978e-11
IL24	AC004846.1	0.326135273221703	5.54902944638876e-05
ITGA6	AC004846.1	0.32015984773272	7.71248669874043e-05
ITGB1	AC004846.1	0.371678410185496	3.56870913874614e-06
MAPK1	AC004846.1	0.452811576084034	8.48979741027936e-09
NCKAP1	AC004846.1	0.309310276294469	0.00013779748351205
NRG1	AC004846.1	0.347521518720789	1.61270057161337e-05
SQSTM1	AC004846.1	-0.328521224629524	4.85611647606139e-05
ATG16L2	AC084117.1	0.329196007761533	4.67540086816604e-05
RAB24	AC084117.1	0.357418447254092	8.82293523445489e-06
VEGFA	AC084117.1	0.346052727187105	1.76069332272765e-05
ATG16L2	AC021078.1	0.498586233847866	1.30437869111173e-10
ATG9B	AC021078.1	0.591398200119643	3.10122597095611e-15
PTK6	AC021078.1	0.346642027129935	1.69984115293859e-05
RAB11A	AC021078.1	0.338061450797119	2.81721068060302e-05
RAB24	AC021078.1	0.619170414165611	6.32050411868722e-17
ULK3	AC021078.1	0.423422433527139	9.12019202313395e-08
ATF4	SNHG6	0.566749781665034	7.27973898025319e-14
ATG10	SNHG6	0.409783768932537	2.54818730511571e-07
ATG2B	SNHG6	-0.336071578356008	3.16072125595545e-05
ATG4B	SNHG6	0.42503789362347	8.05064982825444e-08
ATIC	SNHG6	0.362570365983722	6.39373034073113e-06
BAG1	SNHG6	0.41053986214969	2.40994825092166e-07
BAX	SNHG6	0.464459897271237	3.10772387832996e-09
BECN1	SNHG6	-0.320813188791183	7.44229288927939e-05
BIRC5	SNHG6	0.334067196243067	3.54627483936194e-05
BNIP1	SNHG6	0.521536855822809	1.25932156858898e-11
CAPN1	SNHG6	-0.306934174682778	0.000156012045446559
CAPN10	SNHG6	0.394666430947584	7.55491804505804e-07
CLN3	SNHG6	0.560308239350034	1.59166920715169e-13
DDIT3	SNHG6	0.362496063593777	6.4237503985262e-06
EIF4G1	SNHG6	-0.371119841273259	3.70053479437742e-06
FOXO3	SNHG6	-0.355178060706761	1.01316362724136e-05
HGS	SNHG6	-0.326911620031948	5.3139938747259e-05
HIF1A	SNHG6	-0.372113683392873	3.46908379626319e-06
ITGA6	SNHG6	-0.360779468215895	7.15561020832035e-06
ITGB1	SNHG6	-0.311199018730084	0.000124754637998567
MAP1LC3A	SNHG6	0.33428096373815	3.503142525552e-05
MTOR	SNHG6	-0.337142104723781	2.97130452542264e-05
NCKAP1	SNHG6	-0.320119134240515	7.72962421283895e-05
PELP1	SNHG6	0.517967568549952	1.83250572424548e-11
PINK1	SNHG6	-0.340885466404757	2.38955829071522e-05
SAR1A	SNHG6	0.346034127649428	1.76264697864733e-05
WDFY3	SNHG6	-0.309062272609316	0.000139601529322727
WDR45	SNHG6	0.306763014002228	0.000157407119761069
ZFYVE1	SNHG6	-0.318172588181214	8.59182222270917e-05
ATG10	AL158206.1	0.32861887679818	4.82956448565122e-05
ATG16L2	AL158206.1	0.345515912156588	1.81790818425617e-05
ATG9A	AL158206.1	-0.362856207509957	6.2794768694949e-06
BAG1	AL158206.1	0.378132151967777	2.33537988867725e-06
CDKN2A	AL158206.1	0.410719256742132	2.37821734093604e-07
RAB5A	AL158206.1	0.36971352181523	4.05319343249783e-06
ARSB	LINC01343	-0.371073783728596	3.7116083801982e-06
ATG16L2	LINC01343	0.316873861623223	9.21622534788564e-05
MAPK8IP1	LINC01343	-0.319853245069959	7.84242395528452e-05
PIK3C3	LINC01343	-0.335882898699408	3.1952608269562e-05
AMBRA1	AC024075.1	0.373266683014934	3.21778173658546e-06
ARNT	AC024075.1	0.518531154911004	1.72761928506554e-11
ARSB	AC024075.1	0.353505170388155	1.1226272829699e-05
ATF6	AC024075.1	0.397838188507144	6.0412132029345e-07
ATG2B	AC024075.1	0.399328340446116	5.43441372611274e-07
BAK1	AC024075.1	-0.341659404144276	2.28349991581345e-05
BCL2	AC024075.1	0.338264985494001	2.78412767497689e-05
BECN1	AC024075.1	0.373453766987291	3.17867177385649e-06
BIRC6	AC024075.1	0.623767585816659	3.19534209413229e-17
BNIP1	AC024075.1	-0.313145470896738	0.000112524893275699
CAMKK2	AC024075.1	0.452052452073908	9.05268968922564e-09
CD46	AC024075.1	0.3448381725538	1.89264793042688e-05
CDKN1B	AC024075.1	0.304407391654069	0.000177825645519353
EDEM1	AC024075.1	0.454275603986172	7.49782654676008e-09
EEF2	AC024075.1	0.382238770233308	1.77463359159528e-06
EEF2K	AC024075.1	0.464199570729162	3.17962841556716e-09
EIF2AK3	AC024075.1	0.634498541251837	6.21779302014226e-18
ERBB2	AC024075.1	0.373930086353281	3.08112354268847e-06
ERN1	AC024075.1	0.508866030678466	4.6772736911557e-11
FOXO1	AC024075.1	0.370535957373084	3.84326626015632e-06
FOXO3	AC024075.1	0.486498150651702	4.17424405845404e-10
HDAC6	AC024075.1	0.379092915885568	2.19080534093862e-06
ITPR1	AC024075.1	0.350601123232236	1.3396328710661e-05
KIF5B	AC024075.1	0.476123429022123	1.09326145488633e-09
KLHL24	AC024075.1	0.395703846488334	7.02391992397367e-07
MAPK1	AC024075.1	0.399888255361436	5.22181174631612e-07
MAPK8	AC024075.1	0.495310715383283	1.79574260033055e-10
MBTPS2	AC024075.1	0.411996283619358	2.16360914379129e-07
MTOR	AC024075.1	0.435494485033936	3.53388879084667e-08
NAF1	AC024075.1	0.302703804933673	0.000194099649189539
NBR1	AC024075.1	0.521399015436003	1.27780086160761e-11
NCKAP1	AC024075.1	0.351299045707364	1.28413150913403e-05
NFKB1	AC024075.1	0.390374517589313	1.01866523313179e-06
PARP1	AC024075.1	0.363457725905789	6.04532776268074e-06
PIK3C3	AC024075.1	0.387048278221545	1.28048918048363e-06
PIK3R4	AC024075.1	0.506604946454288	5.87812767905912e-11
PRKAR1A	AC024075.1	0.466260444185661	2.6515889945724e-09
RAB33B	AC024075.1	0.373867533807196	3.09376999786278e-06
RAB5A	AC024075.1	0.400215701280221	5.10118182318343e-07
RAF1	AC024075.1	0.534306761987338	3.17313675702478e-12
RB1	AC024075.1	0.304873036013746	0.000173603709232127
RB1CC1	AC024075.1	0.416438426951431	1.5522874731273e-07
SIRT1	AC024075.1	0.528022874089181	6.29798720312156e-12
SPNS1	AC024075.1	0.308672742281089	0.000142479576538
TP73	AC024075.1	0.356856130261284	9.13549224172775e-06
TSC1	AC024075.1	0.38430774252004	1.54316788666448e-06
TSC2	AC024075.1	0.397696757888012	6.10204892642382e-07
ULK2	AC024075.1	0.351129479271403	1.29741282425442e-05
UVRAG	AC024075.1	0.402081889040802	4.46286246172589e-07
VAMP7	AC024075.1	0.307731912214555	0.000149660551347356
WDFY3	AC024075.1	0.548943320163708	6.07728081423199e-13
ARNT	AL021707.6	-0.313579576984509	0.000109954522874772
ATF4	AL021707.6	0.38903055280457	1.11764148657007e-06
ATG4B	AL021707.6	0.405198795073829	3.56331133803393e-07
BAX	AL021707.6	0.420908417647885	1.10598138520211e-07
BECN1	AL021707.6	-0.363875525569456	5.88758576327071e-06
BNIP1	AL021707.6	0.362125749636382	6.57536711491531e-06
CAPN10	AL021707.6	0.389052478658184	1.11595568264491e-06
CLN3	AL021707.6	0.816657998801988	1.95344689637951e-36
CTSD	AL021707.6	0.494015780938952	2.03577114639031e-10
GNAI3	AL021707.6	-0.332934962440916	3.78317224073318e-05
HIF1A	AL021707.6	-0.318134157924424	8.60971643221306e-05
ITGB1	AL021707.6	-0.314442381530585	0.00010500772810017
MAPK1	AL021707.6	-0.304606201029596	0.000176011512751159
NCKAP1	AL021707.6	-0.352587850363781	1.1873009163392e-05
PELP1	AL021707.6	0.469184911838112	2.04496121167629e-09
RAB1A	AL021707.6	-0.353554531965183	1.11924327864374e-05
RB1	AL021707.6	-0.305910197518539	0.000164532959738785
WDFY3	AL021707.6	-0.308356453104635	0.000144857057972335
ATF4	AC010969.2	0.452673072102158	8.58992229069229e-09
ATG10	AC010969.2	0.431365240648325	4.90798104840341e-08
